,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
109,"Cincinnati, Oh",18-Dec-46,White,Jewish,1.0,Straight,1994,Best Director,http://www.nndb.com/people/734/000022668/,Schindler's List,Steven Spielberg,tt0108052,https://www.imdb.com/title/tt0108052/
110,"Chicago, Il",14-May-52,White,Roman Catholic,1.0,Straight,1995,Best Director,http://www.nndb.com/people/224/000025149/,Forrest Gump,Robert Zemeckis,tt0109830,https://www.imdb.com/title/tt0109830/
111,"Concord, Ca",9-Jul-56,White,Born-Again Christian,1.0,Straight,1995,Best Actor,http://www.nndb.com/people/687/000022621/,Forrest Gump,Tom Hanks,tt0109830,https://www.imdb.com/title/tt0109830/
112,"Peekskill, Ny",3-Jan-56,White,Roman Catholic,1.0,Straight,1996,Best Director,http://www.nndb.com/people/583/000022517/,Braveheart,Mel Gibson,tt00112573,https://www.imdb.com/title/tt00112573/
113,"Ryde, Isle of Wight, England",6-Jan-54,White,Na,1.0,Straight,1997,Best Director,http://www.nndb.com/people/513/000032417/,The English Patient,Anthony Minghella,tt0116209,https://www.imdb.com/title/tt0116209/
114,"Paris, France",9-Mar-64,White,Na,1.0,Straight,1997,Best Supporting Actress,http://www.nndb.com/people/970/000025895/,The English Patient,Juliette Binoche,tt0116209,https://www.imdb.com/title/tt0116209/
115,"Kapuskasing, Ontario, Canada",16-Aug-54,White,Atheist,0.6667,Straight,1998,Best Director,http://www.nndb.com/people/385/000025310/,Titanic,James Cameron,tt0120338,https://www.imdb.com/title/tt0120338/
116,"Cincinnati, Oh",18-Dec-46,White,Jewish,1.0,Straight,1999,Best Director,http://www.nndb.com/people/734/000022668/,Saving Private Ryan,Steven Spielberg,tt0120815,https://www.imdb.com/title/tt0120815/
117,"Reading, Berkshire, England",1-Aug-65,White,Na,1.0,Straight,2000,Best Director,http://www.nndb.com/people/059/000025981/,American Beauty,Sam Mendes,tt0169547,https://www.imdb.com/title/tt0169547/
118,"South Orange, Nj",26-Jul-59,White,Na,1.0,Matter of Dispute,2000,Best Actor,http://www.nndb.com/people/591/000023522/,American Beauty,Kevin Spacey,tt0169547,https://www.imdb.com/title/tt0169547/
119,"Atlanta, Ga",14-Jan-63,White,Atheist,1.0,Straight,2001,Best Director,http://www.nndb.com/people/907/000025832/,Traffic,Steven Soderbergh,tt0181865,https://www.imdb.com/title/tt0181865/
120,"Santurce, Puerto Rico",19-Feb-67,Hispanic,Na,1.0,Straight,2001,Best Supporting Actor,http://www.nndb.com/people/087/000026009/,Traffic,Benicio Del Toro,tt0181865,https://www.imdb.com/title/tt0181865/
121,"Duncan, Ok",1-Mar-54,White,Na,1.0,Straight,2002,Best Director,http://www.nndb.com/people/365/000025290/,A Beautiful Mind,Ron Howard,tt0268978,https://www.imdb.com/title/tt0268978/
122,"Catskill Mountains, Ny",12-Dec-70,White,Jewish,1.0,Straight,2002,Best Supporting Actress,http://www.nndb.com/people/240/000026162/,A Beautiful Mind,Jennifer Connelly,tt0268978,https://www.imdb.com/title/tt0268978/
123,"Paris, France",18-Aug-33,White,See Note,0.3333,Straight,2003,Best Director,http://www.nndb.com/people/541/000023472/,The Pianist,Roman Polanski,tt0253474,https://www.imdb.com/title/tt0253474/
124,New York City,14-Apr-73,White,Jewish,1.0,Straight,2003,Best Actor,http://www.nndb.com/people/112/000026034/,The Pianist,Adrien Brody,tt0253474,https://www.imdb.com/title/tt0253474/
125,"Wellington, New Zealand",31-Oct-61,White,Na,1.0,Straight,2004,Best Director,http://www.nndb.com/people/848/000025773/,The Lord of the Rings: Return of the King,Peter Jackson,tt0167260,https://www.imdb.com/title/tt0167260/
126,"San Francisco, Ca",31-May-30,White,Na,1.0,Straight,2005,Best Director,http://www.nndb.com/people/849/000022783/,Million Dollar Baby,Clint Eastwood,tt0405159,https://www.imdb.com/title/tt0405159/
127,"Memphis, Tn",1-Jun-37,Black,Na,1.0,Straight,2005,Best Supporting Actor,http://www.nndb.com/people/982/000023913/,Million Dollar Baby,Morgan Freeman,tt0405159,https://www.imdb.com/title/tt0405159/
128,"Lincoln, Ne",30-Jul-74,White,Na,1.0,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,tt0405159,https://www.imdb.com/title/tt0405159/
129,"Lincoln, Ne",30-Jul-74,White,Na,1.0,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,tt0405159,https://www.imdb.com/title/tt0405159/
130,"Lincoln, Ne",30-Jul-74,White,Na,1.0,Straight,2005,Best Actress,http://www.nndb.com/people/333/000026255/,Million Dollar Baby,Hilary Swank,tt0405159,https://www.imdb.com/title/tt0405159/
131,"Pingtung, Taiwan",23-Oct-54,Asian,Na,1.0,Straight,2006,Best Director,http://www.nndb.com/people/394/000025319/,Brokeback Mountain,Ang Lee,tt0388795,https://www.imdb.com/title/tt0388795/
132,"Flushing, Ny",17-Nov-42,White,Roman Catholic,1.0,Straight,2007,Best Director,http://www.nndb.com/people/678/000022612/,The Departed,Martin Scorsese,tt0407887,https://www.imdb.com/title/tt0407887/
133,"Manchester, England",20-Oct-56,White,Roman Catholic,0.9624,Straight,2009,Best Director,http://www.nndb.com/people/887/000044755/,Slumdog Millionaire,Danny Boyle,tt1010048,https://www.imdb.com/title/tt1010048/
134,"Manchester, England",20-Oct-56,White,Roman Catholic,1.0,Straight,2009,Best Director,http://www.nndb.com/people/887/000044755/,Slumdog Millionaire,Danny Boyle,tt1010048,https://www.imdb.com/title/tt1010048/
135,"San Carlos, Ca",27-Nov-51,White,Na,1.0,Straight,2009,Best Director,http://www.nndb.com/people/837/000079600/,The Hurt Locker,Kathryn Bigelow,tt0887912,https://www.imdb.com/title/tt0887912/
136,"London, England",1972,White,Na,1.0,Na,2011,Best Director,http://www.nndb.com/people/093/000268286/,The King's Speech,Tom Hooper,tt1504320,https://www.imdb.com/title/tt1504320/
137,"Grayshott, Hampshire, England",10-Sep-60,White,Na,1.0,Straight,2011,Best Actor,http://www.nndb.com/people/813/000043684/,The King's Speech,Colin Firth,tt1504320,https://www.imdb.com/title/tt1504320/
138,"Paris, France",29-Mar-67,White,Jewish,1.0,Straight,2012,Best Director,http://www.nndb.com/people/302/000281456/,The Artist,Michel Hazanavicius,tt1655442,https://www.imdb.com/title/tt1655442/
139,"Rueil-Malmaison, Hauts-De-Seine, France",19-Jun-72,White,Na,1.0,Straight,2012,Best Actor,http://www.nndb.com/people/303/000281457/,The Artist,Jean Dujardin,tt1655442,https://www.imdb.com/title/tt1655442/
140,"Pingtung, Taiwan",23-Oct-54,Asian,Na,1.0,Straight,2013,Best Director,http://www.nndb.com/people/394/000025319/,Life of Pi,Ang Lee,tt0454876,https://www.imdb.com/title/tt0454876/
141,"Rorschach, Switzerland",23-Jul-1884,White,Na,1.0,Bisexual,1929,Best Actor,http://www.nndb.com/people/738/000063549/,The Last Command,Emil Jannings,tt0019071,https://www.imdb.com/title/tt0019071/
142,"Columbus, Oh",29-Mar-1889,White,Na,1.0,Straight,1930,Best Actor,http://www.nndb.com/people/739/000063550/,In Old Arizona,Warner Baxter,tt0020018,https://www.imdb.com/title/tt0020018/
143,"London, England",10-Apr-1868,White,Na,0.6897,Straight,1930,Best Actor,http://www.nndb.com/people/740/000063551/,Desraeli,George Arliss,tt0019823,https://www.imdb.com/title/tt0019823/
144,"Philadelphia, Pa",28-Apr-1878,White,Roman Catholic,1.0,Straight,1931,Best Actor,http://www.nndb.com/people/741/000043612/,A Free Soul,Lionel Barrymore,tt0021885,https://www.imdb.com/title/tt0021885/
145,"Kansas City, Mo",1-Apr-1885,White,Na,1.0,Straight,1932,Best Actor,http://www.nndb.com/people/976/000043847/,The Champ,Wallace Beery,tt0021730,https://www.imdb.com/title/tt0021730/
146,"Victoria Hotel, Scarborough, Yorkshire, England",1-Jul-1899,White,Roman Catholic,1.0,Gay,1934,Best Actor,http://www.nndb.com/people/884/000042758/,The Private Life of Henry VIII,Charles Laughton,tt0024473,https://www.imdb.com/title/tt0024473/
147,"Lviv, Ukraine",22-Sep-1895,White,Jewish,1.0,Straight,1937,Best Actor,http://www.nndb.com/people/741/000063552/,The Story of Louis Pasteur,Paul Muni,tt0028313,https://www.imdb.com/title/tt0028313/
148,"Milwaukee, Wi",5-Apr-1900,White,Roman Catholic,1.0,Straight,1938,Best Actor,http://www.nndb.com/people/979/000024907/,Captains Courageous,Spencer Tracy,tt0028691,https://www.imdb.com/title/tt0028691/
149,"Milwaukee, Wi",5-Apr-1900,White,Roman Catholic,1.0,Straight,1939,Best Actor,http://www.nndb.com/people/979/000024907/,Boys Town,Spencer Tracy,tt0029942,https://www.imdb.com/title/tt0029942/
150,"Withington, Manchester, England",18-Mar-05,White,Na,1.0,Straight,1940,Best Actor,http://www.nndb.com/people/742/000063553/,Goodbye Mr. Chips,Robert Donat,tt0031385,https://www.imdb.com/title/tt0031385/
151,"Indiana, Pa",20-May-08,White,Presbyterian,1.0,Straight,1941,Best Actor,http://www.nndb.com/people/659/000026581/,The Philadelphia Story,Jimmy Stewart,tt0032904,https://www.imdb.com/title/tt0032904/
152,"Helena, Mt",7-May-1901,White,Roman Catholic,1.0,Straight,1942,Best Actor,http://www.nndb.com/people/740/000031647/,Sergeant York,Gary Cooper,tt0034167,https://www.imdb.com/title/tt0034167/
153,"Manhattan, Ny",17-Jul-1899,White,Roman Catholic,1.0,Straight,1943,Best Actor,http://www.nndb.com/people/798/000024726/,Yankee Doodle Dandy,James Cagney,tt0035575,https://www.imdb.com/title/tt0035575/
154,"Budapest, Hungary",26-May-1887,White,Na,1.0,Straight,1944,Best Actor,http://www.nndb.com/people/713/000042587/,Watch on the Rhine,Paul Lukas,tt0036515,https://www.imdb.com/title/tt0036515/
155,"Richmond, Surrey, England",9-Feb-1891,White,Na,1.0,Straight,1948,Best Actor,http://www.nndb.com/people/619/000042493/,A Double Life,Ronald Colman,tt0039335,https://www.imdb.com/title/tt0039335/
156,"Dorking, Surrey, England",22-May-07,White,Na,1.0,Bisexual,1949,Best Actor,http://www.nndb.com/people/607/000022541/,Hamlet,Laurence Olivier,tt0040416,https://www.imdb.com/title/tt0040416/
157,"Philadelphia, Pa",9-Dec-11,White,Na,1.0,Straight,1950,Best Actor,http://www.nndb.com/people/744/000063555/,All The King's Men,Broderick Crawford,tt0041113,https://www.imdb.com/title/tt0041113/
158,"Santurce, Puerto Rico",8-Jan-09,Hispanic,Na,1.0,Straight,1951,Best Actor,http://www.nndb.com/people/311/000026233/,Cyrano de Bergerac,Jose Ferrer,tt0042367,https://www.imdb.com/title/tt0042367/
159,New York City,25-Dec-1899,White,Na,1.0,Straight,1952,Best Actor,http://www.nndb.com/people/837/000024765/,The Africa Queen,Humphrey Bogart,tt0043265,https://www.imdb.com/title/tt0043265/
160,"Helena, Mt",7-May-1901,White,Roman Catholic,1.0,Straight,1953,Best Actor,http://www.nndb.com/people/740/000031647/,High Noon,Gary Cooper,tt0044706,https://www.imdb.com/title/tt0044706/
161,"Helena, Mt",7-May-1901,White,Roman Catholic,1.0,Straight,1953,Best Actor,http://www.nndb.com/people/740/000031647/,High Noon,Gary Cooper,tt0044706,https://www.imdb.com/title/tt0044706/
162,"O'fallon, Il",17-Apr-18,White,Na,1.0,Straight,1954,Best Actor,http://www.nndb.com/people/210/000022144/,Stalag 17,William Holden,tt0046359,https://www.imdb.com/title/tt0046359/
163,"Vladivostok, Russia",11-Jul-20,White,Na,1.0,Straight,1957,Best Actor,http://www.nndb.com/people/459/000026381/,The King and I,Yul Brynner,tt0049408,https://www.imdb.com/title/tt0049408/
164,"London, England",1-Mar-09,White,Na,1.0,Straight,1959,Best Actor,http://www.nndb.com/people/690/000031597/,Separate Tables,David Niven,tt0052182,https://www.imdb.com/title/tt0052182/
165,"Bramhall, Cheshire, England",15-Aug-12,White,Na,1.0,Straight,1959,Best Supporting Actress,http://www.nndb.com/people/056/000063864/,Separate Tables,Wendy Hiller,tt0052182,https://www.imdb.com/title/tt0052182/
166,"Evanston, Il",4-Oct-23,White,Protestant,1.0,Straight,1960,Best Actor,http://www.nndb.com/people/961/000022895/,Ben-hur,Charlton Heston,tt0052618,https://www.imdb.com/title/tt0052618/
167,New York City,2-Nov-13,White,Protestant,1.0,Straight,1961,Best Actor,http://www.nndb.com/people/938/000031845/,Elmer Gantry,Burt Lancaster,tt0053793,https://www.imdb.com/title/tt0053793/
168,"Charleroi, Pa",31-Mar-34,White,Methodist,1.0,Straight,1961,Best Supporting Actress,http://www.nndb.com/people/795/000023726/,Elmer Gantry,Shirley Jones,tt0053793,https://www.imdb.com/title/tt0053793/
169,"Vienna, Austria",8-Dec-30,White,Na,1.0,Straight,1962,Best Actor,http://www.nndb.com/people/351/000023282/,Judgement at Nuremberg,Maximilian Schell,tt0055031,https://www.imdb.com/title/tt0055031/
170,"La Jolla, Ca",5-Apr-16,White,Roman Catholic,1.0,Straight,1963,Best Actor,http://www.nndb.com/people/774/000023705/,To Kill a Mockingbird,Gregory Peck,tt0056592,https://www.imdb.com/title/tt0056592/
171,"Miami, Fl",20-Feb-27,Black,Deist,1.0,Straight,1964,Best Actor,http://www.nndb.com/people/200/000023131/,Lilies of the Field,Sidney Poitier,tt0057251,https://www.imdb.com/title/tt0057251/
172,New York City,19-Feb-24,White,Na,1.0,Straight,1966,Best Actor,http://www.nndb.com/people/314/000026236/,Cat Ballou,Lee Marvin,tt0059017,https://www.imdb.com/title/tt0059017/
173,"Hurstpierpoint, West Sussex, England",21-Jan-22,White,Na,1.0,Straight,1967,Best Actor,http://www.nndb.com/people/950/000033851/,A Man For All Seasons,Paul Scofield,tt0060665,https://www.imdb.com/title/tt0060665/
174,"Westhampton, Ny",14-Apr-25,White,Lutheran,1.0,Straight,1968,Best Actor,http://www.nndb.com/people/762/000026684/,In the Heat of the Night,Rod Steiger,tt0061811,https://www.imdb.com/title/tt0061811/
175,"La Jolla, Ca",9-Sep-23,White,Na,1.0,Straight,1969,Best Actor,http://www.nndb.com/people/134/000023065/,Charly,Cliff Robertson,tt0062794,https://www.imdb.com/title/tt0062794/
176,"Winterset, Ia",26-May-07,White,Roman Catholic,1.0,Straight,1970,Best Actor,http://www.nndb.com/people/605/000023536/,True Grit,John Wayne,tt0065126,https://www.imdb.com/title/tt0065126/
177,"Wise, Va",18-Oct-27,White,Na,1.0,Straight,1971,Best Actor,http://www.nndb.com/people/025/000022956/,Patton,George C. Scott,tt0066206,https://www.imdb.com/title/tt0066206/
178,"Omaha, Ne",3-Apr-24,White,Deist,1.0,Bisexual,1973,Best Actor,http://www.nndb.com/people/721/000022655/,The Godfather,Marlon Brando,tt0068646,https://www.imdb.com/title/tt0068646/
179,"Newton, Ma",8-Feb-25,White,Roman Catholic,1.0,Straight,1974,Best Actor,http://www.nndb.com/people/714/000026636/,Save the Tiger,Jack Lemmon,tt0070640,https://www.imdb.com/title/tt0070640/
180,"Mount Vernon, Ny",4-Nov-18,White,Na,1.0,Straight,1975,Best Actor,http://www.nndb.com/people/182/000025107/,Harry and Tonto,Art Carney,tt0071598,https://www.imdb.com/title/tt0071598/
181,New York City,22-Apr-37,White,Atheist,1.0,Straight,1976,Best Actor,http://www.nndb.com/people/722/000022656/,One Flew Over the Cuckoo's Nest,Jack Nicholson,tt0073486,https://www.imdb.com/title/tt0073486/
182,"Birmingham, Al",22-Jul-34,White,Na,1.0,Straight,1976,Best Actress,http://www.nndb.com/people/798/000063609/,One Flew Over the Cuckoo's Nest,Louise Fletcher,tt0073486,https://www.imdb.com/title/tt0073486/
183,"South Kensington, London, England",28-Sep-16,White,Na,1.0,Straight,1977,Best Actor,http://www.nndb.com/people/745/000063556/,Network,Peter Finch,tt0074958,https://www.imdb.com/title/tt0074958/
184,"Bascom, Fl",14-Jan-41,White,Roman Catholic,1.0,Straight,1977,Best Actress,http://www.nndb.com/people/884/000022818/,Network,Faye Dunaway,tt0074958,https://www.imdb.com/title/tt0074958/
185,"Old Westbury, Ny",2-Aug-14,White,Na,1.0,Straight,1977,Best Supporting Actress,http://www.nndb.com/people/817/000063628/,Network,Beatrice Straight,tt0074958,https://www.imdb.com/title/tt0074958/
186,"Bascom, Fl",14-Jan-41,White,Roman Catholic,1.0,Straight,1977,Best Actress,http://www.nndb.com/people/884/000022818/,Network,Faye Dunaway,tt0074958,https://www.imdb.com/title/tt0074958/
187,"Brooklyn, Ny",29-Oct-47,White,Jewish,1.0,Straight,1978,Best Actor,http://www.nndb.com/people/814/000022748/,The Goodbye Girl,Richard Dreyfuss,tt0076095,https://www.imdb.com/title/tt0076095/
188,"Yonkers, Ny",29-Dec-38,White,Roman Catholic,1.0,Straight,1979,Best Actor,http://www.nndb.com/people/060/000023988/,Coming Home,Jon Voight,tt0077362,https://www.imdb.com/title/tt0077362/
189,New York City,21-Dec-37,White,Born-Again Christian,1.0,Straight,1979,Best Actress,http://www.nndb.com/people/637/000022571/,Coming Home,Jane Fonda,tt0077362,https://www.imdb.com/title/tt0077362/
190,New York City,17-Aug-43,White,Roman Catholic,1.0,Straight,1981,Best Actor,http://www.nndb.com/people/765/000023696/,Raging Bull,Robert De Niro,tt0081398,https://www.imdb.com/title/tt0081398/
191,"Grand Island, Ne",16-May-05,White,Na,1.0,Straight,1982,Best Actor,http://www.nndb.com/people/496/000026418/,On Golden Pond,Henry Fonda,tt0082846,https://www.imdb.com/title/tt0082846/
192,"Hartford, Ct",12-May-07,White,Atheist,1.0,Bisexual,1982,Best Actress,http://www.nndb.com/people/775/000023706/,On Golden Pond,Katharine Hepburn,tt0082846,https://www.imdb.com/title/tt0082846/
193,"Scarborough, Yorkshire, England",31-Dec-43,Multiracial,Quaker,1.0,Straight,1983,Best Actor,http://www.nndb.com/people/519/000024447/,Gandhi,Ben Kingsley,tt0083987,https://www.imdb.com/title/tt0083987/
194,"San Diego, Ca",5-Jan-31,White,Na,1.0,Straight,1984,Best Actor,http://www.nndb.com/people/008/000022939/,Tender Mercies,Robert Duvall,tt0086423,https://www.imdb.com/title/tt0086423/
195,"Washington, Dc",20-Mar-50,White,Lutheran,1.0,Straight,1986,Best Actor,http://www.nndb.com/people/683/000023614/,Kiss of the Spider Woman,William Hurt,tt0089424,https://www.imdb.com/title/tt0089424/
196,"Shaker Heights, Oh",26-Jan-25,White,Jewish,1.0,Straight,1987,Best Actor,http://www.nndb.com/people/804/000022738/,The Color of Money,Paul Newman,tt0090863,https://www.imdb.com/title/tt0090863/
197,"New Brunswick, Nj",25-Sep-44,White,Jewish,1.0,Straight,1988,Best Actor,http://www.nndb.com/people/614/000024542/,Wall Street,Michael Douglas,tt0094291,https://www.imdb.com/title/tt0094291/
198,"Los Angeles, Ca",8-Aug-37,White,Jewish,1.0,Straight,1989,Best Actor,http://www.nndb.com/people/882/000022816/,Rainman,Dustin Hoffman,tt0095953,https://www.imdb.com/title/tt0095953/
199,"London, England",29-Apr-57,White,Na,1.0,Straight,1990,Best Actor,http://www.nndb.com/people/788/000022722/,My Left Foot,Daniel Day-Lewis,tt0097937,https://www.imdb.com/title/tt0097937/
200,"Dublin, Ireland",17-Feb-45,White,Na,1.0,Straight,1990,Best Supporting Actress,http://www.nndb.com/people/815/000063626/,My Left Foot,Brenda Fricker,tt0097937,https://www.imdb.com/title/tt0097937/
201,"Cowes, Isle of Wight, England",19-Sep-48,White,Na,1.0,Straight,1991,Best Actor,http://www.nndb.com/people/594/000023525/,Reversal of Fortune,Jeremy Irons,tt0100486,https://www.imdb.com/title/tt0100486/
202,"Port Talbot, Wales",31-Dec-37,White,Na,1.0,Straight,1992,Best Actor,http://www.nndb.com/people/005/000023933/,Silence of the Lambs,Anthony Hopkins,tt0102926,https://www.imdb.com/title/tt0102926/
203,"East Harlem, New York City",25-Apr-40,White,Roman Catholic,1.0,Straight,1993,Best Actor,http://www.nndb.com/people/880/000022814/,Scent of a Woman,Al Pacino,tt0105323,https://www.imdb.com/title/tt0105323/
204,"Concord, Ca",9-Jul-56,White,Born-Again Christian,1.0,Straight,1994,Best Actor,http://www.nndb.com/people/687/000022621/,Philadelphia,Tom Hanks,tt0107818,https://www.imdb.com/title/tt0107818/
205,"Concord, Ca",9-Jul-56,White,Born-Again Christian,1.0,Straight,1994,Best Actor,http://www.nndb.com/people/687/000022621/,Philadelphia,Tom Hanks,tt0107818,https://www.imdb.com/title/tt0107818/
206,"Long Beach, Ca",7-Jan-64,White,Roman Catholic,1.0,Straight,1996,Best Actor,http://www.nndb.com/people/751/000022685/,Leaving Las Vegas,Nicolas Cage,tt0113627,https://www.imdb.com/title/tt0113627/
207,"Toowoomba, Queensland, Australia",6-Jul-51,White,Na,1.0,Straight,1997,Best Actor,http://www.nndb.com/people/126/000025051/,Shine,Geoffrey Rush,tt0117631,https://www.imdb.com/title/tt0117631/
208,New York City,22-Apr-37,White,Atheist,1.0,Straight,1997,Best Actor,http://www.nndb.com/people/722/000022656/,As Good as It Gets,Jack Nicholson,tt0119822,https://www.imdb.com/title/tt0119822/
209,"Misericordia, Arezzo, Tuscany, Italy",27-Oct-52,White,Na,1.0,Straight,1999,Best Actor,http://www.nndb.com/people/259/000025184/,Life is Beautiful,Roberto Benigni,tt0118799,https://www.imdb.com/title/tt0118799/
210,"Wellington, New Zealand",7-Apr-64,White,Na,0.6562,Straight,2001,Best Actor,http://www.nndb.com/people/782/000022716/,Gladiator,Russell Crowe,tt0172495,https://www.imdb.com/title/tt0172495/
211,"Mount Vernon, Ny",28-Dec-54,Black,Protestant,1.0,Straight,2002,Best Actor,http://www.nndb.com/people/665/000023596/,Training Day,Denzel Washington,tt0139654,https://www.imdb.com/title/tt0139654/
212,"Burbank, Ca",17-Aug-60,White,Roman Catholic,1.0,Straight,2003,Best Actor,http://www.nndb.com/people/331/000025256/,Mystic River,Sean Penn,tt0327056,https://www.imdb.com/title/tt0327056/
213,"Terrell, Tx",13-Dec-67,Black,Baptist,1.0,Straight,2005,Best Actor,http://www.nndb.com/people/113/000026035/,Ray,Jamie Foxx,tt0350258,https://www.imdb.com/title/tt0350258/
214,"Fairport, Ny",23-Jul-67,White,Na,1.0,Straight,2006,Best Actor,http://www.nndb.com/people/409/000027328/,Capote,Philip Seymour Hoffman,tt0379725,https://www.imdb.com/title/tt0379725/
215,"Longview, Tx",15-Jul-61,Black,Na,1.0,Straight,2007,Best Actor,http://www.nndb.com/people/833/000025758/,The Last King of Scotland,Forest Whitaker,tt0455590,https://www.imdb.com/title/tt0455590/
216,"London, England",29-Apr-57,White,Na,1.0,Straight,2008,Best Actor,http://www.nndb.com/people/788/000022722/,There Will Be Blood,Daniel Day-Lewis,tt0469494,https://www.imdb.com/title/tt0469494/
217,"Burbank, Ca",17-Aug-60,White,Roman Catholic,1.0,Straight,2009,Best Actor,http://www.nndb.com/people/331/000025256/,Milk,Sean Penn,tt1013753,https://www.imdb.com/title/tt1013753/
218,"Los Angeles, Ca",4-Dec-49,White,Lutheran,1.0,Straight,2010,Best Actor,http://www.nndb.com/people/779/000022713/,Crazy Heart,Jeff Bridges,tt1263670,https://www.imdb.com/title/tt1263670/
219,"London, England",29-Apr-57,White,Na,1.0,Straight,2013,Best Actor,http://www.nndb.com/people/788/000022722/,Lincoln,Daniel Day-Lewis,tt0443272,https://www.imdb.com/title/tt0443272/
220,"Uvalde, Tx",4-Nov-69,White,Na,1.0,Straight,2014,Best Actor,http://www.nndb.com/people/583/000023514/,Dallas Buyers Club,Matthew McConaughey,tt0790636,https://www.imdb.com/title/tt0790636/
